,epoch,val_mae,train_mae
0,0,0.6322851791337529,0.6518452414353549
1,1,0.6213104751947739,0.622805456477204
2,2,0.6155630651468588,0.6101729481181043
3,3,0.6130998537333334,0.6014112333186257
4,4,0.6190072813113869,0.5958956663686233
5,5,0.6162982938388379,0.5921223931525607
6,6,0.6103573599317249,0.5892160974858504
7,7,0.6087941483612673,0.5869184167500201
8,8,0.6089153270887401,0.5849477216163393
9,9,0.6081030509297073,0.5832657799025626
10,10,0.6113300618838705,0.5818061389557293
11,11,0.6089368341321258,0.580586832896691
12,12,0.6088516993292211,0.5794462820823937
13,13,0.6094489422394258,0.5784651447721315
14,14,0.6099778189053106,0.5775576020962374
15,15,0.6109049394395505,0.576739427092759
16,16,0.6108240673610911,0.5760140343219157
17,17,0.6080764053573156,0.5753162299637922
18,18,0.6079930821818276,0.5746836959283005
19,19,0.6108302318942334,0.574115247385464
